Title,Company_name,Company,Salary,Salary1,Schedule,jobsnippet,date,Place
Adjunct – Information Systems Technology -Cybersecurity,Columbus State Community College,"Columbus, OH 43215 
(Downtown area)",,$54.48 an hour,,The Adjunct – Information Systems Technology – Cybersecurity position provides quality instruction and maintains a positive learning environment in the…,"Posted
Posted 30+ days ago",Good work-life balance
"IT and Operational Risk Management, Assoc. Dir.",FHLBank San Francisco,"San Francisco, CA 94104 
(Financial District/South Beach area)",,"$155,000 - $175,000 a year",,"Additionally, the role will ensure that key ERM, ORM and ITRM processes including identification, assessment, monitoring, management, and reporting of risks…","Posted
Posted 30+ days ago",Fair pay
Intermediate Information Security Analyst,"Data Systems Analysts, Inc.","Remote in Washington, DC 20015",,"$75,000 - $90,000 a year",,"Working closely with senior agency security officials, system owners, information system security officers (ISSOs) and other stakeholders to advise and…","Posted
Posted 30+ days ago",Good compensation and benefits
Information Technology CyberSecurity Specialist,U.S. Department of State,"Hybrid remote in Washington, DC 20520",,"$94,199 - $122,459 a year",,"Experience identifying cyber security programmatic problems, trends and weaknesses and recommending solutions to reduce program vulnerabilities.","Posted
Posted 4 days ago",
Information Security Analyst,PayPal,Remote in Arizona,Estimated $90.3K - $114K a year,,,"Advanced understanding of tools and processes used in security incident detection and handling, security threats, incident response, and security monitoring…","Posted
Posted 11 days ago",
"2025322 Cyber Security SME $215,000.00",B4CORP,"Herndon, VA",,"Up to $2,000 a week",,"Cloud security controls and implementation.
 Self-starter able to work independently and build relationships with technical reps across divisions, comfortable…","Posted
Posted 30 days ago",Supportive management
Product Security Lead,Cox Communications,"Atlanta, GA",,"$105,700 - $176,100 a year",,"Bringing together product development teams and cyber security to achieve a high level of cyber security quality.
 USD 105,700.00 - 176,100.00 per year.","Posted
Posted 30+ days ago",Good compensation and benefits
Information Security Engineer,PayPal,Remote in Hawaii,,"$60,900 - $147,400 a year",,The Cloud Infrastructure Operations team is the main responsible on maintaining an acceptable security posture across all our cloud environments’ infrastructure…,"Posted
Posted 27 days ago",
Cyber Security Specialist,Acacia Network,"Hybrid remote in Bronx, NY 10457",,"$100,000 - $110,000 a year",,"Oversee and monitor routine security administration.
 Proven experience in network and/or systems security.
 Respond immediately to security incidents and provide…","Employer
Active 5 days ago",Maternity leave satisfaction
Special Agent: Cybersecurity/Technology Background,Federal Bureau of Investigation,"San Diego, CA",,"$78,000 - $153,000 a year",,"You will be prompted to either Sign In to continue or to register with FBIJobs if you don’t already have an account.
 Adhere to strict standards of conduct.","Posted
Posted 2 days ago",
Cyber Security Analyst,State of Hawaii,Hawaii,,"$4,500 - $5,400 a month",,"The Security Section prioritizes supporting systems from an enterprise perspective, providing support of core cyber security services available to all State…","Posted
Posted 6 days ago",
Associate - Cybersecurity,United Airlines,"Chicago, IL",,,,They are part of a cross-disciplinary cyber team that takes a proactive and risk-based approach to identifying and addressing cyber risks and incidents in order…,"Posted
Posted 12 days ago",
Vulnerability Management Analyst,TikTok,"Hybrid remote in San Jose, CA",,"$80,000 - $100,000 a year",,The Global Security Organization provides industry-leading cyber-security and business protection services to TikTok globally.,"Posted
Posted 30+ days ago",
Digital Forensics Analyst,Technology Concepts & Design (TCDI),"Remote in Cleveland, OH",Estimated $87.6K - $111K a year,,,Do you want to be a part of an exciting opportunity to have an impact of growing a cybersecurity and legal software company?,"Posted
Posted 30+ days ago",
Cyber Security Instructor (virtual),Cyber Arts Camp,Remote,,$60 - $90 an hour,,"We are looking for someone who can lead and teach an Intro to Cybersecurity summer camp and lead students through CTF's.
 Job Types: Part-time, Contract.","Employer
Active 4 days ago",
Cloud Security Architect,Idea Evolver,Remote,,"$120,000 - $160,000 a year",,"Oversee internal security team and company security posture.
 Conduct architecture reviews and white box security testing to assess and validate application…","Employer
Active 4 days ago",
Security Analyst,Brooksource,"Hybrid remote in Lansing, MI 48917",,$24 - $25 an hour,,"Creates security procedures to ensure adequate security procedures have been developed to identify and classify cyber events.
 Pay: $24.00 - $25.00 per hour.","Employer
Active 7 days ago",Job satisfaction
IT Security Engineer,CR&R Inc,"Stanton, CA 90680",,"From $125,000 a year",,"He/She will devise and manage a security roadmap that maintains and strengthens the company's security posture.
 Maintenance of MS Intune and Cortex XDR.","Employer
Active 4 days ago",
Sr. IT Risk & Internal Auditor,RETIREMENT CLEARINGHOUSE LLC,"Charlotte, NC 28202 
(Downtown Charlotte area)",,"$100,000 - $120,000 a year",,"Support IT and related departments with the formation of IT and security policies/procedures.
 POSITION: Sr. IT Risk & Internal Auditor.","Posted
Posted 1 day ago",
IT Cyber Security Specialist,"Esolvit Inc.,","Woburn, MA 01801",,"$90,000 - $93,000 a year",,"Maintain security logs for each system.
 Troubleshoot security issues as they arise.
 3-5 years of experience in security.
 Job Types: Full-time, Contract.","Posted
Posted 20 days ago",Job satisfaction
Jr Cyber Security Analyst,Sentara Healthcare,"Virginia Beach, VA 23455 
(Bayside area)",Estimated $70.5K - $89.3K a year,,,"Position allows for temporary employment as part of educational development opportunity.
 Under the close direction of permanently employed leaders of the…","Posted
Posted 12 days ago",
SOC Tier 1 Analyst,"CGI Group, Inc.","Rockville, MD 20849",Estimated $60.1K - $76K a year,,,"Familiarity with SIEM platforms and other security monitoring tools.
 Monitor security event and incident detection systems, including SIEM (Security Information…","Posted
Posted 9 days ago",Easy to request PTO
Director of Information Security #517469,San Francisco State University,"Hybrid remote in San Francisco, CA 94132",Estimated $135K - $171K a year,,,"Experience with cyber security frameworks such as ISO 27000, NIST 800.
 A working knowledge of information security practices and concepts including: access…","Employer
Active 4 days ago",Good management
Adjunct – Information Systems Technology -Cybersecurity,Columbus State Community College,"Columbus, OH 43215 
(Downtown area)",,$54.48 an hour,,The Adjunct – Information Systems Technology – Cybersecurity position provides quality instruction and maintains a positive learning environment in the…,"Posted
Posted 30+ days ago",Good work-life balance
"IT and Operational Risk Management, Assoc. Dir.",FHLBank San Francisco,"San Francisco, CA 94104 
(Financial District/South Beach area)",,"$155,000 - $175,000 a year",,"Additionally, the role will ensure that key ERM, ORM and ITRM processes including identification, assessment, monitoring, management, and reporting of risks…","Posted
Posted 30+ days ago",Fair pay
Intermediate Information Security Analyst,"Data Systems Analysts, Inc.","Remote in Washington, DC 20015",,"$75,000 - $90,000 a year",,"Working closely with senior agency security officials, system owners, information system security officers (ISSOs) and other stakeholders to advise and…","Posted
Posted 30+ days ago",Good compensation and benefits
Information Technology CyberSecurity Specialist,U.S. Department of State,"Hybrid remote in Washington, DC 20520",,"$94,199 - $122,459 a year",,"Experience identifying cyber security programmatic problems, trends and weaknesses and recommending solutions to reduce program vulnerabilities.","Posted
Posted 4 days ago",
Information Security Analyst,PayPal,Remote in Arizona,Estimated $90.3K - $114K a year,,,"Advanced understanding of tools and processes used in security incident detection and handling, security threats, incident response, and security monitoring…","Posted
Posted 11 days ago",
"2025322 Cyber Security SME $215,000.00",B4CORP,"Herndon, VA",,"Up to $2,000 a week",,"Cloud security controls and implementation.
 Self-starter able to work independently and build relationships with technical reps across divisions, comfortable…","Posted
Posted 30 days ago",Supportive management
Product Security Lead,Cox Communications,"Atlanta, GA",,"$105,700 - $176,100 a year",,"Bringing together product development teams and cyber security to achieve a high level of cyber security quality.
 USD 105,700.00 - 176,100.00 per year.","Posted
Posted 30+ days ago",Good compensation and benefits
Information Security Engineer,PayPal,Remote in Hawaii,,"$60,900 - $147,400 a year",,The Cloud Infrastructure Operations team is the main responsible on maintaining an acceptable security posture across all our cloud environments’ infrastructure…,"Posted
Posted 27 days ago",
Special Agent: Cybersecurity/Technology Background,Federal Bureau of Investigation,"San Diego, CA",,"$78,000 - $153,000 a year",,"You will be prompted to either Sign In to continue or to register with FBIJobs if you don’t already have an account.
 Adhere to strict standards of conduct.","Posted
Posted 2 days ago",
Information Security Officer (Information Technology),Express Employment Professionals,"Dallas, TX",,"$76,000 - $114,000 a year",,"Establishes and promotes information security awareness training.
 Experience in the development of information security policies, intrusion response procedures,…","Posted
Posted 5 days ago",
Cyber Security Analyst,State of Hawaii,Hawaii,,"$4,500 - $5,400 a month",,"The Security Section prioritizes supporting systems from an enterprise perspective, providing support of core cyber security services available to all State…","Posted
Posted 6 days ago",
Vulnerability Management Analyst,TikTok,"Hybrid remote in San Jose, CA",,"$80,000 - $100,000 a year",,"Bachelor’s Degree or industry equivalent work experience in vulnerability management in a security program.
 Log and track discovered vulnerabilities.","Posted
Posted 30+ days ago",
Digital Forensics Analyst,Technology Concepts & Design (TCDI),"Remote in Cleveland, OH",Estimated $87.6K - $111K a year,,,"This position will be responsible for preserving and analyzing data from various sources, including laptops / desktops, servers, cell phones, cloud-based…","Posted
Posted 30+ days ago",
Cloud Security Architect,Idea Evolver,Remote,,"$120,000 - $160,000 a year",,"Oversee internal security team and company security posture.
 Conduct architecture reviews and white box security testing to assess and validate application…","Employer
Active 4 days ago",
Cyber Security Instructor (virtual),Cyber Arts Camp,Remote,,$60 - $90 an hour,,"Job Types: Part-time, Contract.","Employer
Active 4 days ago",
Security Analyst,Brooksource,"Hybrid remote in Lansing, MI 48917",,$24 - $25 an hour,,Creates security procedures to ensure adequate security procedures have been developed to identify and classify cyber events.,"Employer
Active 7 days ago",Job satisfaction
IT Security Engineer,CR&R Inc,"Stanton, CA 90680",,"From $125,000 a year",,"He/She will devise and manage a security roadmap that maintains and strengthens the company's security posture.
 Maintenance of MS Intune and Cortex XDR.","Employer
Active 4 days ago",
Sr. IT Risk & Internal Auditor,RETIREMENT CLEARINGHOUSE LLC,"Charlotte, NC 28202 
(Downtown Charlotte area)",,"$100,000 - $120,000 a year",,"Support IT and related departments with the formation of IT and security policies/procedures.
 FULL-TIME/PART-TIME: Full-Time.","Posted
Posted 1 day ago",
IT Cyber Security Specialist,"Esolvit Inc.,","Woburn, MA 01801",,"$90,000 - $93,000 a year",,"Maintain security logs for each system.
 Troubleshoot security issues as they arise.
 3-5 years of experience in security.
 Job Types: Full-time, Contract.","Posted
Posted 20 days ago",Job satisfaction
Cyber Systems Engineer – Cyber Engineer (23-368),Northrop Grumman,"Colorado Springs, CO",,"$85,000 - $127,600 a year",,"Documenting lessons learned, best security engineering practices, and industry standards.
 Please note your updated security clearance and IAT Level II relevant…","Posted
Posted 6 days ago",Good compensation and benefits
Jr Cyber Security Analyst,Sentara Healthcare,"Virginia Beach, VA 23455 
(Bayside area)",Estimated $70.5K - $89.3K a year,,,"Under the close direction of permanently employed leaders of the division, Intern assumes responsibility for operational projects and supporting the leadership…","Posted
Posted 12 days ago",
Director of Information Security #517469,San Francisco State University,"Hybrid remote in San Francisco, CA 94132",Estimated $135K - $171K a year,,,"Experience with cyber security frameworks such as ISO 27000, NIST 800.
 A working knowledge of information security practices and concepts including: access…","Employer
Active 4 days ago",Good management
Adjunct – Information Systems Technology -Cybersecurity,Columbus State Community College,"Columbus, OH 43215 
(Downtown area)",,$54.48 an hour,,The Adjunct – Information Systems Technology – Cybersecurity position provides quality instruction and maintains a positive learning environment in the…,"Posted
Posted 30+ days ago",Good work-life balance
"IT and Operational Risk Management, Assoc. Dir.",FHLBank San Francisco,"San Francisco, CA 94104 
(Financial District/South Beach area)",,"$155,000 - $175,000 a year",,"Additionally, the role will ensure that key ERM, ORM and ITRM processes including identification, assessment, monitoring, management, and reporting of risks…","Posted
Posted 30+ days ago",Fair pay
Intermediate Information Security Analyst,"Data Systems Analysts, Inc.","Remote in Washington, DC 20015",,"$75,000 - $90,000 a year",,"Working closely with senior agency security officials, system owners, information system security officers (ISSOs) and other stakeholders to advise and…","Posted
Posted 30+ days ago",Good compensation and benefits
Information Technology CyberSecurity Specialist,U.S. Department of State,"Hybrid remote in Washington, DC 20520",,"$94,199 - $122,459 a year",,"Experience identifying cyber security programmatic problems, trends and weaknesses and recommending solutions to reduce program vulnerabilities.","Posted
Posted 4 days ago",
Information Security Analyst,PayPal,Remote in Arizona,Estimated $90.3K - $114K a year,,,"Advanced understanding of tools and processes used in security incident detection and handling, security threats, incident response, and security monitoring…","Posted
Posted 11 days ago",
"2025322 Cyber Security SME $215,000.00",B4CORP,"Herndon, VA",,"Up to $2,000 a week",,"Cloud security controls and implementation.
 Self-starter able to work independently and build relationships with technical reps across divisions, comfortable…","Posted
Posted 30 days ago",Supportive management
Product Security Lead,Cox Communications,"Atlanta, GA",,"$105,700 - $176,100 a year",,"Bringing together product development teams and cyber security to achieve a high level of cyber security quality.
 USD 105,700.00 - 176,100.00 per year.","Posted
Posted 30+ days ago",Good compensation and benefits
Information Security Engineer,PayPal,Remote in Hawaii,,"$60,900 - $147,400 a year",,The Cloud Infrastructure Operations team is the main responsible on maintaining an acceptable security posture across all our cloud environments’ infrastructure…,"Posted
Posted 27 days ago",
Special Agent: Cybersecurity/Technology Background,Federal Bureau of Investigation,"San Diego, CA",,"$78,000 - $153,000 a year",,"You will be prompted to either Sign In to continue or to register with FBIJobs if you don’t already have an account.
 Adhere to strict standards of conduct.","Posted
Posted 2 days ago",
Information Security Officer (Information Technology),Express Employment Professionals,"Dallas, TX",,"$76,000 - $114,000 a year",,"Establishes and promotes information security awareness training.
 Experience in the development of information security policies, intrusion response procedures,…","Posted
Posted 5 days ago",
Cyber Security Analyst,State of Hawaii,Hawaii,,"$4,500 - $5,400 a month",,"Recruitment Information This posting is for the State of Hawaii, Department of Accounting and General Services, Office of Enterprise Technology Services.…","Posted
Posted 6 days ago",
SOC Analyst (Tier 1) - REMOTE,Binary Defense,Remote in Ohio,Estimated $64K - $81K a year,,,Description: About The Role: · Binary Defense is actively recruiting Tier 1 SOC Analysts to work as part of our 24x7x365 Security Operations Center team.…,"Posted
Posted 11 days ago",
Associate - Cybersecurity,United Airlines,"Chicago, IL",,,,Description There’s never been a more exciting time to join United Airlines. We’re on a path towards becoming the best airline in the history of aviation.…,"Posted
Posted 12 days ago",
Synack Red Team Member,Synack SRT,"Remote in Washington, DC",Estimated $106K - $135K a year,,,The Synack Red Team (SRT) gives the most talented cybersecurity researchers across the globe a platform to do what they love and get paid for it. As a private…,"Posted
Posted 30+ days ago",
Vulnerability Management Analyst,TikTok,"Hybrid remote in San Jose, CA",,"$80,000 - $100,000 a year",,Responsibilities Responsibilities TikTok is the leading destination for short-form mobile video. Our mission is to inspire creativity and bring joy. TikTok…,"Posted
Posted 30+ days ago",
Digital Forensics Analyst,Technology Concepts & Design (TCDI),"Remote in Cleveland, OH",Estimated $87.6K - $111K a year,,,Do you want to be a part of an exciting opportunity to have an impact of growing a cybersecurity and legal software company? Are you an experienced digital…,"Posted
Posted 30+ days ago",
Cloud Security Architect,Idea Evolver,Remote,,"$120,000 - $160,000 a year",,Company Overview Idea Evolver specializes in audience research and consumer insights as well as designing and engineering Software as a Medical Device…,"Employer
Active 4 days ago",
Cyber Security Instructor (virtual),Cyber Arts Camp,Remote,,$60 - $90 an hour,,We are looking for someone who can lead and teach an Intro to Cybersecurity summer camp and lead students through CTF's. The students you'd be instructing…,"Employer
Active 4 days ago",
Security Analyst,Brooksource,"Hybrid remote in Lansing, MI 48917",,$24 - $25 an hour,,*Security Analyst Michigan (Hybrid) Description: Technical security analyst assists with the completion of low to mid-level cyber investigations …,"Employer
Active 7 days ago",Job satisfaction
IT Security Engineer,CR&R Inc,"Stanton, CA 90680",,"From $125,000 a year",,"CR&R Incorporated is one of Southern California's most innovative and successful environmental recycling collection companies, serving more than 3 million…","Employer
Active 4 days ago",
Sr. IT Risk & Internal Auditor,RETIREMENT CLEARINGHOUSE LLC,"Charlotte, NC 28202 
(Downtown Charlotte area)",,"$100,000 - $120,000 a year",,POSITION: Sr. IT Risk & Internal Auditor CATEGORY: Risk Management EXEMPT/NON-EXEMPT: Exempt FULL-TIME/PART-TIME: Full-Time DESCRIPTION: Description Grow…,"Posted
Posted 1 day ago",
IT Cyber Security Specialist,"Esolvit Inc.,","Woburn, MA 01801",,"$90,000 - $93,000 a year",,"About Esolvit Inc. Esolvit, Inc. is a National Award winner professional Information Technology Services and Information Technology Solution Company…","Posted
Posted 20 days ago",Job satisfaction
Cyber Systems Engineer – Cyber Engineer (23-368),Northrop Grumman,"Colorado Springs, CO",,"$85,000 - $127,600 a year",,"Requisition ID: R10116912 Category: Information Technology Location: Colorado Springs, CO, USA Citizenship Required: United States Citizenship Clearance Type:…","Posted
Posted 6 days ago",Good compensation and benefits
Jr Cyber Security Analyst,Sentara Healthcare,"Virginia Beach, VA 23455 
(Bayside area)",Estimated $70.5K - $89.3K a year,,,Position allows for temporary employment as part of educational development opportunity. Under the close direction of permanently employed leaders of the…,"Posted
Posted 12 days ago",
"Security Operations Center (SOC) Analyst, Tier 1 (Eastern US)",Cybereason,Remote,Estimated $76.6K - $96.9K a year,,,"At Cybereason, we empower organisations around the world to take an entirely new approach to cybersecurity. Regardless of your role here, you will play an…","Posted
Posted 11 days ago",
Director of Information Security #517469,San Francisco State University,"Hybrid remote in San Francisco, CA 94132",Estimated $135K - $171K a year,,,"Experience with cyber security frameworks such as ISO 27000, NIST 800.
 A working knowledge of information security practices and concepts including: access…","Employer
Active 4 days ago",Good management
Adjunct – Information Systems Technology -Cybersecurity,Columbus State Community College,"Columbus, OH 43215 
(Downtown area)",,$54.48 an hour,,The Adjunct – Information Systems Technology – Cybersecurity position provides quality instruction and maintains a positive learning environment in the…,"Posted
Posted 30+ days ago",Good work-life balance
"IT and Operational Risk Management, Assoc. Dir.",FHLBank San Francisco,"San Francisco, CA 94104 
(Financial District/South Beach area)",,"$155,000 - $175,000 a year",,The Enterprise Risk Management Department (“ERM”) is looking for an Associate Director risk professional to support the Bank in further maturing our IT (“IT”)…,"Posted
Posted 30+ days ago",Fair pay
Intermediate Information Security Analyst,"Data Systems Analysts, Inc.","Remote in Washington, DC 20015",,"$75,000 - $90,000 a year",,"Working closely with senior agency security officials, system owners, information system security officers (ISSOs) and other stakeholders to advise and…","Posted
Posted 30+ days ago",Good compensation and benefits
Information Technology CyberSecurity Specialist,U.S. Department of State,"Hybrid remote in Washington, DC 20520",,"$94,199 - $122,459 a year",,"Experience identifying cyber security programmatic problems, trends and weaknesses and recommending solutions to reduce program vulnerabilities.","Posted
Posted 4 days ago",
Information Security Analyst,PayPal,Remote in Arizona,Estimated $90.3K - $114K a year,,,"Advanced understanding of tools and processes used in security incident detection and handling, security threats, incident response, and security monitoring…","Posted
Posted 11 days ago",
"2025322 Cyber Security SME $215,000.00",B4CORP,"Herndon, VA",,"Up to $2,000 a week",,"Cloud security controls and implementation.
 Self-starter able to work independently and build relationships with technical reps across divisions, comfortable…","Posted
Posted 30 days ago",Supportive management
Product Security Lead,Cox Communications,"Atlanta, GA",,"$105,700 - $176,100 a year",,"Bringing together product development teams and cyber security to achieve a high level of cyber security quality.
 What's In It For Me?
 Ready to make your mark?","Posted
Posted 30+ days ago",Good compensation and benefits
Information Security Engineer,PayPal,Remote in Hawaii,,"$60,900 - $147,400 a year",,The Cloud Infrastructure Operations team is the main responsible on maintaining an acceptable security posture across all our cloud environments’ infrastructure…,"Posted
Posted 27 days ago",
Special Agent: Cybersecurity/Technology Background,Federal Bureau of Investigation,"San Diego, CA",,"$78,000 - $153,000 a year",,"We need professionals experienced in network security, computer science and software engineering to prevent cybercrimes, data theft, ransomware and other…","Posted
Posted 2 days ago",
Information Security Officer (Information Technology),Express Employment Professionals,"Dallas, TX",,"$76,000 - $114,000 a year",,"Establishes and promotes information security awareness training.
 Experience in the development of information security policies, intrusion response procedures,…","Posted
Posted 5 days ago",
Cyber Security Analyst,State of Hawaii,Hawaii,,"$4,500 - $5,400 a month",,"The Security Section prioritizes supporting systems from an enterprise perspective, providing support of core cyber security services available to all State…","Posted
Posted 6 days ago",
Vulnerability Management Analyst,TikTok,"Hybrid remote in San Jose, CA",,"$80,000 - $100,000 a year",,The Global Security Organization provides industry-leading cyber-security and business protection services to TikTok globally.,"Posted
Posted 30+ days ago",
Digital Forensics Analyst,Technology Concepts & Design (TCDI),"Remote in Cleveland, OH",Estimated $87.6K - $111K a year,,,Do you want to be a part of an exciting opportunity to have an impact of growing a cybersecurity and legal software company?,"Posted
Posted 30+ days ago",
Cloud Security Architect,Idea Evolver,Remote,,"$120,000 - $160,000 a year",,"Oversee internal security team and company security posture.
 Conduct architecture reviews and white box security testing to assess and validate application…","Employer
Active 4 days ago",
Cyber Security Instructor (virtual),Cyber Arts Camp,Remote,,$60 - $90 an hour,,"We are looking for someone who can lead and teach an Intro to Cybersecurity summer camp and lead students through CTF's.
 Job Types: Part-time, Contract.","Employer
Active 4 days ago",
Security Analyst,Brooksource,"Hybrid remote in Lansing, MI 48917",,$24 - $25 an hour,,"Creates security procedures to ensure adequate security procedures have been developed to identify and classify cyber events.
 Pay: $24.00 - $25.00 per hour.","Employer
Active 7 days ago",Job satisfaction
IT Security Engineer,CR&R Inc,"Stanton, CA 90680",,"From $125,000 a year",,"He/She will devise and manage a security roadmap that maintains and strengthens the company's security posture.
 Maintenance of MS Intune and Cortex XDR.","Employer
Active 4 days ago",
Sr. IT Risk & Internal Auditor,RETIREMENT CLEARINGHOUSE LLC,"Charlotte, NC 28202 
(Downtown Charlotte area)",,"$100,000 - $120,000 a year",,"Support IT and related departments with the formation of IT and security policies/procedures.
 POSITION: Sr. IT Risk & Internal Auditor.","Posted
Posted 1 day ago",
IT Cyber Security Specialist,"Esolvit Inc.,","Woburn, MA 01801",,"$90,000 - $93,000 a year",,"Maintain security logs for each system.
 Troubleshoot security issues as they arise.
 3-5 years of experience in security.
 Job Types: Full-time, Contract.","Posted
Posted 20 days ago",Job satisfaction
Cyber Systems Engineer – Cyber Engineer (23-368),Northrop Grumman,"Colorado Springs, CO",,"$85,000 - $127,600 a year",,"Documenting lessons learned, best security engineering practices, and industry standards.
 Please note your updated security clearance and IAT Level II relevant…","Posted
Posted 6 days ago",Good compensation and benefits
Jr Cyber Security Analyst,Sentara Healthcare,"Virginia Beach, VA 23455 
(Bayside area)",Estimated $70.5K - $89.3K a year,,,"Position allows for temporary employment as part of educational development opportunity.
 Under the close direction of permanently employed leaders of the…","Posted
Posted 12 days ago",
Director of Information Security #517469,San Francisco State University,"Hybrid remote in San Francisco, CA 94132",Estimated $135K - $171K a year,,,"Experience with cyber security frameworks such as ISO 27000, NIST 800.
 A working knowledge of information security practices and concepts including: access…","Employer
Active 4 days ago",Good management
Adjunct – Information Systems Technology -Cybersecurity,Columbus State Community College,"Columbus, OH 43215 
(Downtown area)",,$54.48 an hour,,The Adjunct – Information Systems Technology – Cybersecurity position provides quality instruction and maintains a positive learning environment in the…,"Posted
Posted 30+ days ago",Good work-life balance
"IT and Operational Risk Management, Assoc. Dir.",FHLBank San Francisco,"San Francisco, CA 94104 
(Financial District/South Beach area)",,"$155,000 - $175,000 a year",,"Additionally, the role will ensure that key ERM, ORM and ITRM processes including identification, assessment, monitoring, management, and reporting of risks…","Posted
Posted 30+ days ago",Fair pay
Intermediate Information Security Analyst,"Data Systems Analysts, Inc.","Remote in Washington, DC 20015",,"$75,000 - $90,000 a year",,"Working closely with senior agency security officials, system owners, information system security officers (ISSOs) and other stakeholders to advise and…","Posted
Posted 30+ days ago",Good compensation and benefits
Information Technology CyberSecurity Specialist,U.S. Department of State,"Hybrid remote in Washington, DC 20520",,"$94,199 - $122,459 a year",,"Experience identifying cyber security programmatic problems, trends and weaknesses and recommending solutions to reduce program vulnerabilities.","Posted
Posted 4 days ago",
Information Security Analyst,PayPal,Remote in Arizona,Estimated $90.3K - $114K a year,,,"Advanced understanding of tools and processes used in security incident detection and handling, security threats, incident response, and security monitoring…","Posted
Posted 11 days ago",
"2025322 Cyber Security SME $215,000.00",B4CORP,"Herndon, VA",,"Up to $2,000 a week",,"Cloud security controls and implementation.
 Self-starter able to work independently and build relationships with technical reps across divisions, comfortable…","Posted
Posted 30 days ago",Supportive management
Product Security Lead,Cox Communications,"Atlanta, GA",,"$105,700 - $176,100 a year",,"Bringing together product development teams and cyber security to achieve a high level of cyber security quality.
 USD 105,700.00 - 176,100.00 per year.","Posted
Posted 30+ days ago",Good compensation and benefits
Information Security Engineer,PayPal,Remote in Hawaii,,"$60,900 - $147,400 a year",,The Cloud Infrastructure Operations team is the main responsible on maintaining an acceptable security posture across all our cloud environments’ infrastructure…,"Posted
Posted 27 days ago",
Special Agent: Cybersecurity/Technology Background,Federal Bureau of Investigation,"San Diego, CA",,"$78,000 - $153,000 a year",,"You will be prompted to either Sign In to continue or to register with FBIJobs if you don’t already have an account.
 Adhere to strict standards of conduct.","Posted
Posted 2 days ago",
Information Security Officer (Information Technology),Express Employment Professionals,"Dallas, TX",,"$76,000 - $114,000 a year",,"Establishes and promotes information security awareness training.
 Experience in the development of information security policies, intrusion response procedures,…","Posted
Posted 5 days ago",
Cyber Security Analyst,State of Hawaii,Hawaii,,"$4,500 - $5,400 a month",,"The Security Section prioritizes supporting systems from an enterprise perspective, providing support of core cyber security services available to all State…","Posted
Posted 6 days ago",
Vulnerability Management Analyst,TikTok,"Hybrid remote in San Jose, CA",,"$80,000 - $100,000 a year",,"Bachelor’s Degree or industry equivalent work experience in vulnerability management in a security program.
 Log and track discovered vulnerabilities.","Posted
Posted 30+ days ago",
Cyber Security Instructor (virtual),Cyber Arts Camp,Remote,,$60 - $90 an hour,,"Job Types: Part-time, Contract.","Employer
Active 4 days ago",
Digital Forensics Analyst,Technology Concepts & Design (TCDI),"Remote in Cleveland, OH",Estimated $87.6K - $111K a year,,,"This position will be responsible for preserving and analyzing data from various sources, including laptops / desktops, servers, cell phones, cloud-based…","Posted
Posted 30+ days ago",
Jr Cyber Security Analyst,Sentara Healthcare,"Virginia Beach, VA 23455 
(Bayside area)",Estimated $70.5K - $89.3K a year,,,"Under the close direction of permanently employed leaders of the division, Intern assumes responsibility for operational projects and supporting the leadership…","Posted
Posted 12 days ago",
Cloud Security Architect,Idea Evolver,Remote,,"$120,000 - $160,000 a year",,"Oversee internal security team and company security posture.
 Conduct architecture reviews and white box security testing to assess and validate application…","Employer
Active 4 days ago",
Security Analyst,Brooksource,"Hybrid remote in Lansing, MI 48917",,$24 - $25 an hour,,Creates security procedures to ensure adequate security procedures have been developed to identify and classify cyber events.,"Employer
Active 7 days ago",Job satisfaction
IT Security Engineer,CR&R Inc,"Stanton, CA 90680",,"From $125,000 a year",,"He/She will devise and manage a security roadmap that maintains and strengthens the company's security posture.
 Maintenance of MS Intune and Cortex XDR.","Employer
Active 4 days ago",
Sr. IT Risk & Internal Auditor,RETIREMENT CLEARINGHOUSE LLC,"Charlotte, NC 28202 
(Downtown Charlotte area)",,"$100,000 - $120,000 a year",,"Support IT and related departments with the formation of IT and security policies/procedures.
 FULL-TIME/PART-TIME: Full-Time.","Posted
Posted 1 day ago",
Vulnerability Specialist - Desktop Support Services,Amica Mutual Insurance Company,"Lincoln, RI 02865",,,,"This will require researching, packaging, and testing software and security patches within SCCM but not limited to working with the business to ensure the…","Posted
Posted 2 days ago",Good compensation and benefits
IT Cyber Security Specialist,"Esolvit Inc.,","Woburn, MA 01801",,"$90,000 - $93,000 a year",,"Maintain security logs for each system.
 Troubleshoot security issues as they arise.
 3-5 years of experience in security.
 Job Types: Full-time, Contract.","Posted
Posted 20 days ago",Job satisfaction
Director of Information Security #517469,San Francisco State University,"Hybrid remote in San Francisco, CA 94132",Estimated $135K - $171K a year,,,"Experience with cyber security frameworks such as ISO 27000, NIST 800.
 A working knowledge of information security practices and concepts including: access…","Employer
Active 4 days ago",Good management
Adjunct – Information Systems Technology -Cybersecurity,Columbus State Community College,"Columbus, OH 43215 
(Downtown area)",,$54.48 an hour,,The Adjunct – Information Systems Technology – Cybersecurity position provides quality instruction and maintains a positive learning environment in the…,"Posted
Posted 30+ days ago",Good work-life balance
